feature,importance
LotArea,43
TotalArea,41
GrLivArea,38
OverallCond,34
OverallQual,33
YrSold_sub_YearBuilt,29
1stFlrSF,26
BsmtFinSF1,23
Neighborhood,21
TotalBsmtSF,21
SaleCondition,20
BsmtUnfSF,20
YrSold_sub_GarageYrBlt,19
OpenPorchSF,19
GarageArea,19
YrSold_sub_YearRemodAdd,16
2ndFlrSF,16
TotalBath,15
Functional,13
LotFrontage,13
Condition1,13
Fireplaces,11
GarageCars,11
BsmtExposure,11
KitchenQual,10
WoodDeckSF,10
LotConfig,9
ExterQual,9
ScreenPorch,8
MSZoning,8
MoSold,8
PavedDrive,7
FullBath,7
BsmtFinType1,7
TotRmsAbvGrd,7
CentralAir,7
BsmtFinSF2,6
BsmtQual,6
BedroomAbvGr,6
EnclosedPorch,6
FireplaceQu,5
Exterior1st,5
GarageFinish,4
MasVnrArea,4
HouseStyle,4
BsmtFullBath,4
LandContour,3
Foundation,3
GarageType,2
LotShape,2
BldgType,2
KitchenAbvGr,2
MSSubClass,2
BsmtCond,2
HeatingQC,2
ExterCond,2
Electrical,1
HalfBath,1
Heating,1
MasVnrType,1
BsmtFinType2,1
RoofStyle,1
3SsnPorch,0
Street,0
Condition2,0
MiscVal,0
PoolArea,0
LowQualFinSF,0
RoofMatl,0
Utilities,0
Exterior2nd,0
LandSlope,0
GarageQual,0
SaleType,0
BsmtHalfBath,0
GarageCond,0
