feature,importance
GrLivArea,40
TotalArea,31
LotArea,29
OverallCond,27
OverallQual,26
Neighborhood,19
1stFlrSF,18
OpenPorchSF,18
YrSold_sub_YearBuilt,17
GarageArea,15
BsmtUnfSF,15
YrSold_sub_GarageYrBlt,15
Functional,14
SaleCondition,14
BsmtFinSF1,13
TotalBath,13
Fireplaces,11
BsmtExposure,10
TotalBsmtSF,9
LotFrontage,9
Condition1,9
ScreenPorch,8
YrSold_sub_YearRemodAdd,8
WoodDeckSF,7
BsmtFinType1,7
FullBath,6
CentralAir,6
KitchenQual,6
LotConfig,6
2ndFlrSF,5
ExterQual,5
GarageCars,5
MSZoning,5
TotRmsAbvGrd,5
MoSold,4
BsmtQual,4
HeatingQC,4
HouseStyle,4
LandContour,4
BsmtCond,3
KitchenAbvGr,2
GarageFinish,2
ExterCond,2
Exterior1st,2
MasVnrType,2
PavedDrive,2
MasVnrArea,2
LandSlope,2
GarageCond,1
SaleType,1
FireplaceQu,1
MSSubClass,1
LotShape,1
BldgType,1
RoofStyle,1
BsmtFinSF2,1
Foundation,1
BedroomAbvGr,0
Exterior2nd,0
Street,0
Utilities,0
Condition2,0
RoofMatl,0
MiscVal,0
PoolArea,0
3SsnPorch,0
HalfBath,0
EnclosedPorch,0
BsmtFinType2,0
Heating,0
GarageQual,0
LowQualFinSF,0
BsmtFullBath,0
BsmtHalfBath,0
GarageType,0
Electrical,0
